t,y,n
0.0,0.022660905903587016,0.0
5.0,0.014482509201781112,0.0
10.0,0.005717319408748748,0.0
15.0,0.002458346724106949,0.0
20.0,0.00285946817989299,0.0
25.0,0.0023241305680965414,0.0
30.0,-0.0007216113150939998,0.0
35.0,-0.005293395958212358,0.0
40.0,-0.007661716915472093,0.0
45.0,-0.005701333248131632,0.0
50.0,-0.007766164707258375,0.0
55.0,-0.0069426936425217795,0.0
60.0,-0.01641576419952312,0.0
62.0,-0.5291103663364418,0.0
65.0,-0.5084139741486273,0.0
70.0,-0.49138995005895814,0.0
75.0,-0.47451542570115596,0.0
80.0,-0.4586330584915922,0.0
85.0,-0.4398297216505752,0.0
90.0,-0.42174676370854913,0.0
95.0,-0.40900841250948233,0.0
100.0,-0.39926222802315103,0.0
105.0,-0.3808354997424769,0.0
110.0,-0.36619452175646355,0.0
115.0,-0.3563075343891335,0.0
120.0,-0.34800891085663543,0.0
125.0,-0.336839482035928,0.0
130.0,-0.3203213348046215,0.0
135.0,-0.30800591626372287,0.0
140.0,-0.30139402313984603,0.0
145.0,-0.28633285671577496,0.0
150.0,-0.2750325808770947,0.0
155.0,-0.2673719425039264,0.0
160.0,-0.2575851056574537,0.0
165.0,-0.24516576064881243,0.0
170.0,-0.23413501575376114,0.0
175.0,-0.2227907953932248,0.0
180.0,-0.21482135878946637,0.0
185.0,-0.20897498161322062,0.0
190.0,-0.19918530403496704,0.0
195.0,-0.18630757307365736,0.0
200.0,-0.17677395254402362,0.0
205.0,-0.17955528116307637,0.0
210.0,-0.1524618393684541,0.0
215.0,-0.16066988294543172,0.0
220.0,-0.14136987287106,0.0
225.0,-0.1451718513315684,0.0
230.0,-0.14019143266431958,0.0
235.0,-0.134165743058161,0.0
240.0,-0.1241169571761713,0.0
245.0,-0.11878039220042723,0.0
250.0,-0.11247259828077696,0.0
255.0,-0.11626131696957336,0.0
260.0,-0.10486755451119908,0.0
265.0,-0.1115465348438131,0.0
270.0,-0.09449488707289029,0.0
275.0,-0.10028161547178702,0.0
280.0,-0.09195564544983158,0.0
285.0,-0.08725923937282237,0.0
290.0,-0.07627247658063911,0.0
295.0,-0.07514549439172104,0.0
300.0,-0.07696095009257653,0.0
0.0,0.006166788473006495,1.0
5.0,0.0022004604178138044,1.0
10.0,-0.00031625002440377947,1.0
15.0,-0.0003803494922726029,1.0
20.0,0.0067745037276688,1.0
25.0,0.002700156103861444,1.0
30.0,-0.006011146596526009,1.0
35.0,0.0004871211448833141,1.0
40.0,-0.0018825815540079208,1.0
45.0,-0.004516927433034148,1.0
50.0,0.003972948177819503,1.0
55.0,-0.0019253609739040174,1.0
60.0,-0.00726936197090527,1.0
62.0,-0.5330106130927197,1.0
